epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,32652.5,0.49498,0.10401,0.07385,0.3357,0.93175,0.99103,0.9914,0.99489,0.91601,0.988,0.98514,0.99426,0.99124,0.44432,0.0709,0.04168,0.25812,0.78815,0.0012872,0.0012872,0.0012872
38,33156,0.49846,0.10465,0.07245,0.33667,0.93299,0.99403,0.98737,0.99474,0.92612,0.99079,0.98138,0.99432,0.99176,0.44021,0.07374,0.04393,0.26359,0.78651,0.0012674,0.0012674,0.0012674
39,33651.4,0.47761,0.09908,0.0672,0.32336,0.92259,0.99035,0.98944,0.99481,0.91739,0.98928,0.98155,0.99429,0.99167,0.45503,0.06968,0.04443,0.26494,0.78431,0.0012476,0.0012476,0.0012476
40,34161.4,0.47822,0.10265,0.07093,0.32783,0.92146,0.99374,0.98836,0.99489,0.93564,0.98882,0.98338,0.99433,0.99161,0.41255,0.07387,0.04722,0.2451,0.77131,0.0012278,0.0012278,0.0012278
41,34652,0.48348,0.10056,0.06828,0.32334,0.9232,0.99146,0.99202,0.99484,0.93556,0.9869,0.98604,0.99451,0.99213,0.41148,0.0688,0.03826,0.24794,0.77282,0.001208,0.001208,0.001208
42,35148.9,0.47471,0.09707,0.06488,0.32176,0.91982,0.99346,0.9867,0.99481,0.9552,0.98978,0.98305,0.99453,0.9924,0.34585,0.06477,0.03751,0.22465,0.76839,0.0011882,0.0011882,0.0011882
43,35636.9,0.47021,0.09426,0.06742,0.31906,0.92092,0.99168,0.99027,0.99485,0.93304,0.98776,0.98338,0.99426,0.99213,0.40495,0.06323,0.04091,0.25181,0.77337,0.0011684,0.0011684,0.0011684
44,36149.8,0.46779,0.09622,0.06647,0.31797,0.91662,0.99234,0.99101,0.99488,0.94386,0.98833,0.9853,0.99444,0.99215,0.38127,0.0649,0.03416,0.23825,0.76916,0.0011486,0.0011486,0.0011486
45,36665.4,0.4683,0.09029,0.06594,0.3184,0.91817,0.991,0.98848,0.99484,0.942,0.987,0.98402,0.9945,0.99198,0.4007,0.05899,0.03532,0.23732,0.76917,0.0011288,0.0011288,0.0011288
46,37157.9,0.45625,0.09745,0.06563,0.31287,0.91434,0.9943,0.98576,0.99481,0.93981,0.99094,0.9815,0.99451,0.99188,0.39374,0.06331,0.03473,0.23413,0.77013,0.001109,0.001109,0.001109
47,37652.2,0.46048,0.09094,0.06316,0.3088,0.91401,0.99406,0.98803,0.99483,0.93947,0.99128,0.98304,0.99454,0.99222,0.40146,0.06115,0.03427,0.23662,0.76877,0.0010892,0.0010892,0.0010892
48,38124.2,0.45646,0.09241,0.06173,0.30823,0.91228,0.99473,0.99036,0.99491,0.94963,0.99117,0.9867,0.99464,0.99261,0.37846,0.05984,0.03609,0.22494,0.76652,0.0010694,0.0010694,0.0010694
49,38598.6,0.45288,0.08901,0.0628,0.30524,0.91064,0.99317,0.99069,0.99491,0.94958,0.9903,0.98436,0.99456,0.99213,0.3594,0.05722,0.03577,0.22312,0.76756,0.0010496,0.0010496,0.0010496
50,39077.5,0.44626,0.08728,0.0616,0.30414,0.91081,0.99292,0.99003,0.9949,0.95242,0.98895,0.98604,0.99464,0.99284,0.34866,0.05694,0.03621,0.21966,0.76456,0.0010298,0.0010298,0.0010298
51,39577.6,0.43807,0.0834,0.06113,0.29661,0.90836,0.99398,0.98803,0.99487,0.95698,0.98963,0.98371,0.9946,0.99259,0.33206,0.05669,0.03374,0.21395,0.7574,0.00101,0.00101,0.00101
52,40063.5,0.44383,0.08668,0.06376,0.30245,0.90688,0.99208,0.99102,0.99488,0.95129,0.98965,0.98502,0.99465,0.99317,0.362,0.05444,0.03257,0.21576,0.76819,0.0009902,0.0009902,0.0009902
53,40549.8,0.43617,0.08454,0.05701,0.29817,0.90759,0.99253,0.98803,0.99489,0.93553,0.99296,0.98138,0.99467,0.99285,0.40835,0.05521,0.03298,0.22911,0.77258,0.0009704,0.0009704,0.0009704
54,41028.3,0.43771,0.08453,0.05918,0.29588,0.90742,0.9908,0.99269,0.99491,0.94673,0.98997,0.98398,0.99451,0.99262,0.3915,0.05514,0.03488,0.22187,0.76412,0.0009506,0.0009506,0.0009506
55,41496.4,0.43044,0.08254,0.05955,0.28725,0.90101,0.99097,0.99169,0.99487,0.94835,0.98827,0.98471,0.99458,0.99245,0.37069,0.05534,0.03555,0.22018,0.75809,0.0009308,0.0009308,0.0009308
56,41989.2,0.43443,0.08033,0.05523,0.2936,0.90554,0.9935,0.98969,0.99489,0.9433,0.99056,0.98404,0.99459,0.99279,0.38537,0.05774,0.03666,0.22016,0.7613,0.000911,0.000911,0.000911
57,42495.7,0.42646,0.07904,0.05772,0.28552,0.89964,0.99266,0.9887,0.99487,0.95351,0.99061,0.98195,0.99443,0.99266,0.36511,0.05541,0.03517,0.21537,0.76164,0.0008912,0.0008912,0.0008912
58,42976.9,0.42767,0.07719,0.05686,0.28984,0.90178,0.99458,0.99003,0.99491,0.95007,0.99064,0.98481,0.99457,0.99295,0.38353,0.05994,0.03256,0.22511,0.76667,0.0008714,0.0008714,0.0008714
59,43441.1,0.41939,0.07733,0.05465,0.28554,0.89732,0.99401,0.99222,0.99489,0.95781,0.98921,0.98637,0.99452,0.99302,0.33077,0.05433,0.03411,0.20418,0.75459,0.0008516,0.0008516,0.0008516
60,43924.4,0.42043,0.07907,0.05466,0.28534,0.90245,0.99137,0.99277,0.99489,0.95147,0.98638,0.98727,0.99454,0.99317,0.3731,0.05515,0.03425,0.21162,0.75933,0.0008318,0.0008318,0.0008318
61,44421.2,0.41781,0.0736,0.05485,0.28264,0.9004,0.99355,0.99102,0.99492,0.95069,0.99086,0.98471,0.99461,0.99276,0.35914,0.05155,0.03357,0.20954,0.76181,0.000812,0.000812,0.000812
62,44903.5,0.4127,0.07797,0.05525,0.2828,0.8936,0.99453,0.99202,0.99492,0.95275,0.99033,0.9872,0.99465,0.99272,0.35165,0.05193,0.03199,0.20711,0.75287,0.0007922,0.0007922,0.0007922
63,45407.5,0.41401,0.07686,0.05343,0.28206,0.8959,0.995,0.99069,0.9949,0.96158,0.99188,0.98537,0.99471,0.99279,0.3307,0.05139,0.03217,0.20169,0.75019,0.0007724,0.0007724,0.0007724
64,45875.7,0.41334,0.07271,0.05373,0.27996,0.89557,0.99334,0.99146,0.99491,0.94688,0.98933,0.98612,0.99454,0.99351,0.3872,0.05058,0.03364,0.21658,0.76688,0.0007526,0.0007526,0.0007526
65,46340.1,0.40326,0.07483,0.0515,0.27159,0.89315,0.99391,0.99036,0.99491,0.95933,0.99129,0.9843,0.99462,0.99298,0.33301,0.05126,0.03576,0.20316,0.75656,0.0007328,0.0007328,0.0007328
66,46788.4,0.40393,0.07211,0.05145,0.27446,0.89373,0.99233,0.98949,0.99479,0.96346,0.98996,0.98341,0.99455,0.99335,0.32158,0.04983,0.03432,0.20134,0.75572,0.000713,0.000713,0.000713
67,47241.1,0.39585,0.0718,0.05224,0.27186,0.89149,0.99235,0.98936,0.99488,0.9577,0.98932,0.98438,0.99461,0.99335,0.34354,0.05268,0.03484,0.20761,0.75386,0.0006932,0.0006932,0.0006932
68,47726.3,0.3949,0.0672,0.04953,0.26957,0.89016,0.99407,0.98969,0.99491,0.9553,0.99129,0.98504,0.99458,0.99326,0.35062,0.05152,0.03149,0.20127,0.75624,0.0006734,0.0006734,0.0006734
69,48192.1,0.39516,0.06826,0.04904,0.27004,0.89123,0.9946,0.98936,0.99485,0.95483,0.9903,0.98468,0.99458,0.99328,0.35977,0.05167,0.03127,0.20386,0.75692,0.0006536,0.0006536,0.0006536
70,48653.5,0.3871,0.06516,0.05097,0.26464,0.88631,0.99477,0.98836,0.99489,0.95858,0.99113,0.98404,0.99464,0.99318,0.32917,0.05096,0.03044,0.19548,0.7539,0.0006338,0.0006338,0.0006338
71,49106.7,0.38718,0.0658,0.04779,0.26093,0.88971,0.99327,0.99036,0.99489,0.95989,0.99011,0.98537,0.9947,0.99338,0.33186,0.0497,0.03102,0.19674,0.75498,0.000614,0.000614,0.000614
72,49575.8,0.38697,0.06935,0.04875,0.26231,0.88903,0.99432,0.98972,0.99486,0.96031,0.98998,0.9854,0.9946,0.99307,0.31997,0.05004,0.03257,0.19254,0.7537,0.0005942,0.0005942,0.0005942
73,50043.8,0.38005,0.06744,0.0487,0.25971,0.88269,0.9926,0.99136,0.99489,0.96216,0.98801,0.98623,0.99459,0.99304,0.30782,0.04841,0.03333,0.19034,0.7454,0.0005744,0.0005744,0.0005744
